"MULTIPOLYGON(((119.9961982 30.2883789,119.9962108 30.2883826,119.9962039 30.2884004,119.9962647 30.2884182,119.9962563 30.2884396,119.9963362 30.2884629,119.9963446 30.2884415,119.9964802 30.2884812,119.9964718 30.2885026,119.9965536 30.2885265,119.996562 30.2885051,119.9966196 30.288522,119.9966261 30.2885055,119.9966409 30.2885098,119.9966689 30.2884384,119.9966603 30.2884359,119.9966644 30.2884255,119.9966054 30.2884083,119.9966101 30.2883962,119.9965166 30.2883688,119.9965119 30.2883809,119.9963908 30.2883455,119.9963955 30.2883334,119.996298 30.2883049,119.9962933 30.288317,119.9962405 30.2883015,119.9962365 30.2883119,119.9962257 30.2883088,119.9961982 30.2883789)))","42.86"
"MULTIPOLYGON(((119.9975577 30.2881178,119.9975713 30.2881216,119.997564 30.2881409,119.9976428 30.2881631,119.9976384 30.2881746,119.9977188 30.2881972,119.9977231 30.2881857,119.9978982 30.2882349,119.9978938 30.2882465,119.9979741 30.2882691,119.9979785 30.2882575,119.9980575 30.2882797,119.9980634 30.2882641,119.9980753 30.2882675,119.9981043 30.2881908,119.9980924 30.2881874,119.9980992 30.2881691,119.9980336 30.2881507,119.9980377 30.2881399,119.9979307 30.2881098,119.9979266 30.2881206,119.9977781 30.2880788,119.9977822 30.2880681,119.9976772 30.2880386,119.9976732 30.2880493,119.9976028 30.2880295,119.9975985 30.2880408,119.9975879 30.2880378,119.9975577 30.2881178)))","37.11"
"MULTIPOLYGON(((119.9989253 30.2884459,119.998966 30.2884576,119.9989593 30.2884747,119.9990401 30.288498,119.9990467 30.2884809,119.9991247 30.2885033,119.999118 30.2885204,119.9992005 30.2885442,119.9992071 30.2885271,119.9992847 30.2885494,119.9992781 30.2885666,119.9993611 30.2885905,119.9993677 30.2885734,119.9994075 30.2885848,119.9994433 30.288492,119.999413 30.2884833,119.9994199 30.2884655,119.9993131 30.2884347,119.9993082 30.2884474,119.9992609 30.2884338,119.9992658 30.2884211,119.9991529 30.2883885,119.999148 30.2884012,119.9990986 30.288387,119.9991035 30.2883743,119.9989983 30.288344,119.9989914 30.2883617,119.9989612 30.288353,119.9989253 30.2884459)))","29.30"
"MULTIPOLYGON(((119.9982641 30.2886486,119.9982814 30.2886535,119.998278 30.2886626,119.9983227 30.2886751,119.9983152 30.288695,119.9983992 30.2887186,119.9984067 30.2886987,119.998518 30.28873,119.9985105 30.2887498,119.9985942 30.2887734,119.9986017 30.2887535,119.9986462 30.288766,119.9986488 30.2887593,119.9986666 30.2887642,119.9986988 30.2886788,119.9986428 30.2886631,119.9986469 30.2886524,119.9985511 30.2886255,119.9985484 30.2886326,119.9984521 30.2886056,119.9984548 30.2885984,119.9983562 30.2885707,119.9983535 30.2885778,119.9982967 30.2885619,119.9982641 30.2886486)))","29.52"
"MULTIPOLYGON(((119.9855791 30.2856732,119.9860852 30.2858389,119.9861209 30.2857576,119.9856148 30.2855919,119.9855791 30.2856732)))","40.99"
"MULTIPOLYGON(((119.9864197 30.2895707,119.9866638 30.2896429,119.9867008 30.2895494,119.9864568 30.2894772,119.9864197 30.2895707)))","15.52"
"MULTIPOLYGON(((119.9940673 30.2892535,119.9944181 30.2893682,119.9944784 30.2892307,119.9941276 30.2891159,119.9940673 30.2892535)))","97.30"
"MULTIPOLYGON(((119.9994719 30.2905435,119.9999833 30.2907606,120.0000638 30.290619,119.9995525 30.290402,119.9994719 30.2905435)))","21.77"
"MULTIPOLYGON(((119.9860974 30.2894666,119.9863415 30.2895387,119.9863785 30.2894452,119.9861345 30.2893731,119.9860974 30.2894666)))","16.53"
"MULTIPOLYGON(((119.9924681 30.289177,119.9928187 30.2892628,119.9928659 30.2891192,119.9925153 30.2890334,119.9924681 30.289177)))","55.62"
"MULTIPOLYGON(((119.9913059 30.2889436,119.9920088 30.2891112,119.9920635 30.2889399,119.9913606 30.2887723,119.9913059 30.2889436)))","59.74"
"MULTIPOLYGON(((120.0017421 30.2868247,120.0017663 30.2869493,120.0018356 30.2870605,120.0019428 30.2871465,120.0020789 30.2871986,120.0022272 30.2872093,120.0023715 30.2871774,120.0024956 30.2871064,120.0025859 30.2870042,120.0026324 30.2868821,120.00263 30.2867536,120.0025789 30.2866328,120.0024867 30.2865348,120.0023629 30.2864675,120.0022205 30.2864384,120.0020749 30.2864505,120.0019416 30.2865024,120.0018347 30.2865887,120.0017658 30.2867001,120.0017421 30.2868247)))","24.59"
"MULTIPOLYGON(((120.0017792 30.2801103,120.001925 30.2801435,120.0019178 30.2801671,120.0019561 30.2801758,120.0020084 30.2800043,120.0018243 30.2799625,120.0017792 30.2801103)))","19.06"
"MULTIPOLYGON(((120.002015 30.2801806,120.002211 30.2802269,120.0022218 30.2801931,120.0021932 30.2801864,120.0022334 30.2800595,120.0020659 30.2800199,120.002015 30.2801806)))","22.32"
"MULTIPOLYGON(((119.9867724 30.2862486,119.986987 30.2863335,119.9870426 30.2862287,119.986828 30.2861437,119.9867724 30.2862486)))","60.16"
"MULTIPOLYGON(((119.986834 30.2858102,119.9870366 30.2858701,119.9870792 30.2857625,119.9868767 30.2857027,119.986834 30.2858102)))","39.06"
"MULTIPOLYGON(((119.986388 30.2856941,119.9867606 30.2858036,119.9867974 30.2857101,119.9864249 30.2856007,119.986388 30.2856941)))","34.07"
"MULTIPOLYGON(((119.9855761 30.2849067,119.9859196 30.2850149,119.9859498 30.2849434,119.9856063 30.2848352,119.9855761 30.2849067)))","25.28"
"MULTIPOLYGON(((119.9865011 30.2840396,119.9869958 30.2841904,119.9870297 30.2841074,119.986535 30.2839567,119.9865011 30.2840396)))","20.33"
"MULTIPOLYGON(((119.9877362 30.2904045,119.9881421 30.2905171,119.9881785 30.2904192,119.9877727 30.2903066,119.9877362 30.2904045)))","15.48"
"MULTIPOLYGON(((120.005343 30.2858372,120.0057113 30.2859404,120.0058428 30.2855903,120.0056579 30.2855385,120.0055945 30.2857074,120.0054111 30.285656,120.005343 30.2858372)))","35.52"
"MULTIPOLYGON(((120.0151739 30.2888631,120.0152217 30.2888786,120.0152102 30.288905,120.0152512 30.2889183,120.0152655 30.2888855,120.0153117 30.2889005,120.0152973 30.2889336,120.0153591 30.2889537,120.0153722 30.2889237,120.0154323 30.2889432,120.0154779 30.2888384,120.015221 30.288755,120.0151739 30.2888631)))","15.73"
"MULTIPOLYGON(((120.0081468 30.2859536,120.0084098 30.286028,120.0084334 30.2859657,120.0081705 30.2858913,120.0081468 30.2859536)))","10.89"
"MULTIPOLYGON(((120.0063592 30.2853316,120.0065461 30.2853833,120.0065655 30.285331,120.0063786 30.2852792,120.0063592 30.2853316)))","7.10"
"MULTIPOLYGON(((120.0120278 30.2855271,120.0126501 30.2857029,120.0127282 30.2854968,120.0121058 30.285321,120.0120278 30.2855271)))","12.69"
"MULTIPOLYGON(((120.0160515 30.274223,120.0164476 30.2742526,120.0164574 30.2741227,120.0160576 30.2740963,120.0160515 30.274223)))","49.11"
"MULTIPOLYGON(((120.0154359 30.275745,120.0158912 30.2758337,120.0159286 30.2756946,120.0154709 30.2756119,120.0154359 30.275745)))","47.27"
"MULTIPOLYGON(((120.0170109 30.2760898,120.0174662 30.2761786,120.0175035 30.2760394,120.0170459 30.2759567,120.0170109 30.2760898)))","40.61"
"MULTIPOLYGON(((120.0007986 30.2837307,120.0011434 30.2838307,120.0012058 30.2836703,120.000861 30.2835702,120.0007986 30.2837307)))","107.66"
"MULTIPOLYGON(((120.0043208 30.2762588,120.0046093 30.2763207,120.0046426 30.2762049,120.0043542 30.276143,120.0043208 30.2762588)))","86.77"
